date, value
19-Apr-1976,1.2555
20-Apr-1976,1.2755
21-Apr-1976,1.2555
22-Apr-1976,1.2755
23-Apr-1976,1.2835
26-Apr-1976,1.339
27-Apr-1976,1.3047
28-Apr-1976,1.2753
29-Apr-1976,1.2915
30-Apr-1976,1.2593
3-May-1976,1.225
4-May-1976,1.2445
5-May-1976,1.2745
6-May-1976,1.3045
7-May-1976,1.3345
10-May-1976,1.3375
11-May-1976,1.3515
12-May-1976,1.3815
13-May-1976,1.401
14-May-1976,1.395
17-May-1976,1.3845
18-May-1976,1.3545
19-May-1976,1.3455
20-May-1976,1.3755
21-May-1976,1.4025
24-May-1976,1.3915
25-May-1976,1.4213
26-May-1976,1.413
27-May-1976,1.383
28-May-1976,1.4105
1-Jun-1976,1.403
2-Jun-1976,1.405
3-Jun-1976,1.414
4-Jun-1976,1.404
7-Jun-1976,1.391
8-Jun-1976,1.421
9-Jun-1976,1.451
10-Jun-1976,1.481
11-Jun-1976,1.511
14-Jun-1976,1.501
15-Jun-1976,1.5075
16-Jun-1976,1.5375
17-Jun-1976,1.56
18-Jun-1976,1.565
21-Jun-1976,1.554
22-Jun-1976,1.546
23-Jun-1976,1.516
24-Jun-1976,1.5
25-Jun-1976,1.5374
28-Jun-1976,1.5248
29-Jun-1976,1.513
30-Jun-1976,1.5276
1-Jul-1976,1.529
2-Jul-1976,1.5125
6-Jul-1976,1.4825
7-Jul-1976,1.4525
8-Jul-1976,1.4415
9-Jul-1976,1.4115
12-Jul-1976,1.3815
13-Jul-1976,1.3515
14-Jul-1976,1.3235
15-Jul-1976,1.2935
16-Jul-1976,1.2635
19-Jul-1976,1.2335
20-Jul-1976,1.2635
21-Jul-1976,1.279
22-Jul-1976,1.2635
23-Jul-1976,1.2935
26-Jul-1976,1.3235
27-Jul-1976,1.3405
28-Jul-1976,1.3705
29-Jul-1976,1.4005
30-Jul-1976,1.4175
2-Aug-1976,1.4475
3-Aug-1976,1.441
4-Aug-1976,1.464
5-Aug-1976,1.4795
6-Aug-1976,1.502
9-Aug-1976,1.472
10-Aug-1976,1.4765
11-Aug-1976,1.486
12-Aug-1976,1.516
13-Aug-1976,1.546
16-Aug-1976,1.576
17-Aug-1976,1.606
18-Aug-1976,1.605
19-Aug-1976,1.61
20-Aug-1976,1.5802
23-Aug-1976,1.57
24-Aug-1976,1.5965
25-Aug-1976,1.675
26-Aug-1976,1.6216
27-Aug-1976,1.561
30-Aug-1976,1.5194
31-Aug-1976,1.5128
1-Sep-1976,1.4998
2-Sep-1976,1.5298
3-Sep-1976,1.5385
7-Sep-1976,1.5685
8-Sep-1976,1.5785
9-Sep-1976,1.557
10-Sep-1976,1.587
13-Sep-1976,1.5775
14-Sep-1976,1.5555
15-Sep-1976,1.5515
16-Sep-1976,1.549
17-Sep-1976,1.53
20-Sep-1976,1.5
21-Sep-1976,1.5125
22-Sep-1976,1.532
23-Sep-1976,1.562
24-Sep-1976,1.616
27-Sep-1976,1.67
28-Sep-1976,1.6495
29-Sep-1976,1.661
30-Sep-1976,1.6625
1-Oct-1976,1.69
4-Oct-1976,1.6925
5-Oct-1976,1.7175
6-Oct-1976,1.695
7-Oct-1976,1.735
8-Oct-1976,1.745
12-Oct-1976,1.77
13-Oct-1976,1.767
14-Oct-1976,1.707
15-Oct-1976,1.75
18-Oct-1976,1.7775
19-Oct-1976,1.755
20-Oct-1976,1.7305
21-Oct-1976,1.7425
22-Oct-1976,1.735
25-Oct-1976,1.705
26-Oct-1976,1.68
27-Oct-1976,1.76
28-Oct-1976,1.7825
29-Oct-1976,1.785
1-Nov-1976,1.775
3-Nov-1976,1.77
4-Nov-1976,1.7865
5-Nov-1976,1.813
8-Nov-1976,1.8275
9-Nov-1976,1.83
10-Nov-1976,1.835
12-Nov-1976,1.855
15-Nov-1976,1.84
16-Nov-1976,1.835
17-Nov-1976,1.79
18-Nov-1976,1.7888
19-Nov-1976,1.825
22-Nov-1976,1.8563
23-Nov-1976,1.8275
24-Nov-1976,1.8188
26-Nov-1976,1.8499
29-Nov-1976,1.8849
30-Nov-1976,1.8713
